Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500000359,0,07,000,00,2,8,19,A01
200500000360,0,07,000,00,2,8,10,A01
200500000360,0,07,000,00,2,1,01,B02
200500000361,0,02,000,00,0,8,15,A01
200500000361,0,07,000,00,0,2,17,B02
200500000362,0,05,000,00,2,1,01,A01
200500000362,0,07,000,00,0,6,15,B02
200500000363,0,07,000,04,0,7,01,A01
200500000364,0,07,000,00,2,1,01,A01
200500000364,0,07,000,00,2,1,01,B02
200500000365,0,07,000,02,0,8,01,A01
200500000366,0,02,000,00,2,1,01,A01
200500000367,0,07,000,00,2,3,15,A01
200500000367,0,07,000,00,2,3,01,B02
200500000368,0,07,000,00,2,3,05,A01
200500000368,0,07,000,00,2,3,01,B02
200500000369,2,07,000,00,2,3,05,A01
200500000369,0,02,000,00,2,1,01,B02
200500000370,0,05,000,00,2,1,01,B02
200500000370,0,17,000,00,2,6,15,A01
