Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000188,3,00020,0,,2,00,18,400,0,1,1,000,041,2,0,3,00
200500000189,3,00304,0,,2,02,0,0,0,2,1,000,029,2,0,3,00
200500000190,3,00020,0,A,2,02,0,0,0,1,1,015,035,2,0,1,03
200500000191,3,00840,0,A,2,02,36,505,0,1,1,000,068,1,0,1,00
200500000192,2,00013,0,,2,00,0,0,0,0,1,000,000,1,0,1,00
200500000193,2,01013,0,,1,00,0,0,0,2,3,000,000,2,3,3,00
200500000194,3,00140,0,,2,02,0,0,0,1,2,000,000,2,0,0,00
200500000195,3,00052,0,,2,02,14,0,0,0,1,000,056,2,0,1,00
200500000196,3,00561,0,,2,00,1,80,0,1,2,000,041,2,0,4,00
200500000197,2,00013,0,,2,02,12,0,0,1,1,000,120,1,0,1,00
200500000198,3,00316,0,,2,02,0,0,0,1,1,000,050,2,0,1,00
200500000199,3,00010,0,,2,02,0,0,0,2,2,000,040,2,0,3,00
200500000200,3,00915,0,,3,03,0,0,0,1,3,000,109,2,0,1,00
200500000201,2,00138,0,,2,02,20,200,0,1,1,000,075,8,0,1,00
200500000202,3,00035,0,,2,00,0,0,0,2,1,000,060,1,0,1,00
200500000203,3,00131,0,,2,02,6,500,0,1,1,000,059,1,0,1,00
200500000204,3,00133,0,,2,02,0,0,0,1,1,000,000,1,0,1,00
200500000205,3,00133,0,,2,02,0,0,0,1,1,000,065,1,5,1,00
200500000206,3,00133,0,,2,02,6,800,0,1,1,000,072,1,0,1,00
200500000207,3,00071,0,,2,00,0,0,0,1,1,001,071,1,0,1,03
200500000208,3,00082,0,,2,02,9,25,0,2,1,000,057,2,0,3,00
200500000209,2,00154,0,,3,04,39,500,0,2,2,050,127,2,0,1,00
200500000210,2,00002,0,,2,00,15,200,0,0,0,000,078,1,0,0,00
200500000211,3,00316,0,,2,00,0,0,0,0,2,000,000,8,0,1,00
200500000212,3,00002,0,,2,00,16,0,0,1,3,000,080,1,0,1,00
200500000213,3,00026,0,,2,00,35,0,0,1,1,023,065,1,6,1,00
200500000214,3,00133,0,,2,00,0,0,0,1,1,000,000,1,5,1,00
200500000215,3,00139,0,,2,02,14,0,0,2,2,010,060,2,0,1,00
200500000216,2,00178,0,,2,02,4,200,0,1,1,079,000,1,0,1,00
200500000217,3,00027,0,,2,02,7,600,0,1,2,000,077,7,5,1,00
200500000218,3,00177,0,,3,00,29,500,0,1,1,020,070,1,0,1,00
200500000219,3,00034,0,,2,02,17,500,0,3,1,000,066,1,0,1,00
200500000220,9,00000,0,,2,02,0,0,0,1,1,000,063,1,0,1,00
200500000221,3,00175,0,,2,02,0,0,0,1,1,000,054,1,0,1,00
200500000222,3,00027,0,,2,00,0,0,0,1,1,000,070,2,0,1,00
200500000223,3,00071,0,,2,02,0,0,0,1,1,000,060,2,2,1,00
200500000224,3,00062,0,,2,02,0,0,0,2,3,000,062,2,0,1,00
200500000225,3,00061,0,,2,00,0,0,0,1,1,000,055,0,0,1,00
200500000226,3,00072,0,,2,02,0,0,0,2,1,000,000,1,0,1,00
200500000227,3,00155,0,,2,02,0,0,0,1,1,000,075,2,0,1,00
200500000228,3,00098,0,,2,02,0,0,0,1,1,000,078,2,0,1,00
200500000229,3,00102,0,,2,01,13,800,0,1,1,000,060,5,0,3,00
200500000230,3,00017,0,,2,01,15,500,0,1,3,000,050,5,0,1,00
200500000231,3,00039,0,,2,02,9,970,0,1,1,000,068,1,0,1,00
200500000232,3,00777,0,,2,00,66,100,3,1,1,000,112,2,5,1,00
200500000233,2,00137,0,,3,04,103,800,0,2,3,100,070,2,0,1,00
200500000234,3,00076,0,,2,02,0,0,0,1,1,000,080,1,5,1,00
200500000235,3,00155,0,,2,02,59,0,0,1,1,000,073,2,0,1,00
200500000236,3,00004,0,,2,02,3,500,0,1,1,000,070,1,0,1,00
200500000237,3,00795,0,,2,02,43,0,0,4,1,000,068,1,0,1,00
200500000238,3,00797,0,,2,02,3,800,0,1,1,000,060,1,0,3,00
200500000239,3,00266,0,,2,00,7,800,0,1,4,000,070,1,0,3,00
200500000240,3,00266,0,,2,00,5,500,0,1,3,000,065,2,0,3,00
200500000241,9,00000,0,,2,00,0,0,0,0,1,080,000,1,0,1,00
200500000242,3,00857,0,,2,02,10,0,0,1,1,000,072,1,0,3,00
200500000243,3,00857,0,,2,02,13,900,0,1,1,000,075,1,0,1,00
200500000244,3,00639,0,,2,01,0,500,0,1,1,000,045,1,0,3,00
200500000245,3,00099,0,,2,02,0,0,0,3,1,000,056,1,0,1,00
200500000246,3,00092,0,,0,00,0,0,0,1,0,000,060,1,5,1,00
200500000247,3,00463,0,,2,02,15,750,0,3,1,000,067,1,0,1,00
200500000248,3,00032,0,,2,02,15,800,0,1,2,000,063,7,0,3,00
